listing_id,unit_id,project_id,project_name,university,distance_to_campus_m,facility_count,agent_id,floor,size_sqm,room_type,view,furnished,week_listed,date_listed,season_listed,asking_rent,first_asking_rent,weeks_on_market,n_viewings,leased,week_leased,tenant_segment,lease_months
LS030060,U120165,12,Kave Coco Bangsaen,ม.บูรพา,500,50,AG05,1,23.6,studio,standard,True,178,2026-06-02,peak,12040.0,12040.0,0,3,True,178,firstjob,12
LS003809,U020403,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG01,3,26.8,studio,standard,True,30,2023-08-01,peak,11670.0,11670.0,0,7,True,30,year1,12
LS002276,U040987,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG02,2,31.9,1BR,standard,True,11,2023-03-21,off,11050.0,11590.0,5,3,True,16,year2_3,6
LS023906,U140114,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG05,4,25.9,studio,standard,True,153,2025-12-09,off,8290.0,9770.0,14,7,True,167,year2_3,12
LS024271,U070664,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG02,6,22.5,studio,city,True,156,2025-12-30,normal,11770.0,11770.0,1,3,True,157,year1,12
LS018300,U031255,3,Kave Town Island,ม.กรุงเทพ,300,45,AG04,6,41.2,1BR Plus,city,True,118,2025-04-08,peak,13770.0,14490.0,4,3,True,122,firstjob,12
LS002944,U050747,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG02,3,22.6,studio,city,True,20,2023-05-23,peak,10850.0,10850.0,0,4,True,20,firstjob,6
LS019233,U050286,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG04,7,26.8,studio,city,False,122,2025-05-06,peak,12020.0,12020.0,2,5,True,124,year4,12
LS025243,U160080,16,KAVE Luminous Bangmod,มจธ.บางมด,600,23,AG03,2,44.6,1BR Plus,standard,True,156,2025-12-30,normal,13520.0,14230.0,4,4,True,160,year1,12
LS005445,U050346,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG05,7,21.0,studio,standard,False,45,2023-11-14,peak,9310.0,10970.0,28,24,True,73,year2_3,12
LS020346,U020739,2,Kave Town Shift,ม.กรุงเทพ,200,30,AG02,4,23.8,studio,standard,True,130,2025-07-01,peak,9950.0,9950.0,0,3,True,130,year2_3,12
LS012744,U040179,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG04,3,22.7,studio,city,False,94,2024-10-22,shoulder,10330.0,10330.0,0,4,True,94,year1,12
LS012109,U000328,0,Kave Condo,ม.กรุงเทพ,100,20,AG02,7,37.3,1BR Plus,standard,True,90,2024-09-24,shoulder,13230.0,13230.0,1,4,True,91,year1,12
LS027945,U031356,3,Kave Town Island,ม.กรุงเทพ,300,45,AG05,2,27.7,1BR,pool,True,170,2026-04-07,peak,12060.0,12700.0,4,3,True,174,year4,12
LS005643,U050190,5,Kave TU,ม.ธรรมศาสตร์,50,25,AG01,5,40.3,1BR Plus,city,True,47,2023-11-28,shoulder,16440.0,16440.0,0,4,True,47,year1,6
LS025740,U180061,18,Kave Playground,ร.ร.บดินทรเดชา,150,60,AG06,1,21.9,studio,standard,True,156,2025-12-30,off,10450.0,11490.0,10,3,True,166,year2_3,12
LS017797,U000093,0,Kave Condo,ม.กรุงเทพ,100,20,AG04,8,24.0,studio,standard,True,115,2025-03-18,off,8790.0,8790.0,3,4,True,118,year4,6
LS018666,U100426,10,Kave Seed Kaset,ม.เกษตรศาสตร์,4600,25,AG03,4,26.9,studio,standard,True,119,2025-04-15,peak,7450.0,7800.0,6,3,True,125,year2_3,12
LS015440,U071105,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG05,4,31.3,1BR,city,True,104,2024-12-31,peak,11660.0,13740.0,21,3,True,125,year2_3,6
LS015046,U070711,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG01,8,21.3,studio,standard,True,104,2024-12-31,off,9240.0,10890.0,17,4,True,121,firstjob,6
LS024497,U080214,8,Kave Carnival,ม.รังสิต,400,40,AG01,4,28.0,1BR,standard,True,156,2025-12-30,peak,11200.0,13200.0,20,3,True,176,year4,6
LS017787,U140248,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG02,3,25.4,studio,pool,True,114,2025-03-11,peak,8330.0,9230.0,8,5,True,122,year2_3,12
LS014786,U070451,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG03,3,33.6,1BR,pool,True,104,2024-12-31,peak,11760.0,13860.0,18,7,True,122,year1,12
LS011981,U040668,4,Kave Town Colony,ม.กรุงเทพ,300,40,AG02,5,31.3,1BR,pool,True,88,2024-09-10,normal,12810.0,12810.0,2,5,True,90,year2_3,6
LS010936-B,U031620,3,Kave Town Island,ม.กรุงเทพ,300,45,AG03,5,32.5,1BR,city,True,76,2024-06-18,peak,15810.0,15940.0,0,7,True,76,firstjob,12
LS020284,U070665,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG05,6,23.9,studio,city,True,129,2025-06-24,peak,12210.0,12210.0,0,3,True,129,year2_3,12
LS003460,U060418,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG04,3,38.0,1BR Plus,standard,True,26,2023-07-04,peak,16460.0,16460.0,0,7,True,26,year1,12
LS015243,U070908,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG06,2,22.0,studio,pool,True,104,2024-12-31,peak,9700.0,11430.0,19,4,True,123,year4,12
LS015500,U071165,7,Kave Wonderland,ม.ธรรมศาสตร์,250,45,AG01,5,30.2,1BR,pool,True,104,2024-12-31,normal,14930.0,14930.0,3,3,True,107,year2_3,12
LS016207,U120192,12,Kave Coco Bangsaen,ม.บูรพา,500,50,AG02,1,34.1,1BR,pool,False,104,2024-12-31,peak,11330.0,13350.0,18,3,True,122,year1,6
LS010987,U130063,13,Kave Pop Salaya,ม.มหิดล,1000,26,AG05,3,26.5,studio,city,True,76,2024-06-18,peak,10900.0,10900.0,2,3,True,78,year1,12
LS017571,U140549,14,Kave Mutant Salaya,ม.มหิดล,750,30,AG03,6,23.0,studio,city,False,112,2025-02-25,peak,8320.0,9220.0,11,9,True,123,year2_3,6
LS002951,U060444,6,Kave Ava,ม.ธรรมศาสตร์,50,30,AG01,4,35.2,1BR,standard,False,20,2023-05-23,peak,15210.0,15210.0,0,3,True,20,year1,12
LS024917,U080634,8,Kave Carnival,ม.รังสิต,400,40,AG04,7,29.4,1BR,city,True,156,2025-12-30,peak,11990.0,14140.0,21,3,True,177,year1,6
LS013223-B,U011051,1,Kave Town Space,ม.กรุงเทพ,200,30,AG02,8,25.0,studio,city,True,97,2024-11-12,shoulder,10630.0,11050.0,2,4,True,99,year2_3,12
