unit_id,project_id,floor,size_sqm,room_type,view,furnished,agent_id
U000000,0,8,23.9,studio,standard,True,AG04
U000001,0,6,23.0,studio,standard,True,AG05
U000002,0,2,25.7,studio,city,True,AG04
U000003,0,1,25.8,studio,standard,True,AG01
U000004,0,1,39.6,1BR Plus,pool,False,AG05
U000005,0,2,25.8,studio,city,True,AG06
U000006,0,1,22.8,studio,city,True,AG02
U000007,0,8,24.3,studio,standard,True,AG06
U000008,0,7,33.7,1BR,standard,True,AG04
U000009,0,7,21.4,studio,city,True,AG04
U000010,0,7,24.0,studio,standard,True,AG06
U000011,0,5,25.3,studio,pool,True,AG01
U000012,0,8,25.5,studio,standard,True,AG06
U000013,0,1,25.6,studio,standard,True,AG05
U000014,0,3,21.0,studio,standard,True,AG03
U000015,0,7,22.7,studio,standard,True,AG02
U000016,0,8,38.1,1BR Plus,city,True,AG05
U000017,0,8,25.1,studio,standard,True,AG06
U000018,0,5,33.6,1BR,standard,True,AG05
U000019,0,5,21.4,studio,standard,True,AG02
U000020,0,4,24.1,studio,city,True,AG06
U000021,0,3,22.6,studio,standard,True,AG02
U000022,0,1,26.7,studio,city,True,AG05
U000023,0,6,25.5,studio,city,True,AG03
U000024,0,5,25.6,studio,standard,False,AG03
U000025,0,5,23.9,studio,standard,False,AG01
U000026,0,2,32.4,1BR,standard,True,AG02
U000027,0,8,34.4,1BR,standard,True,AG04
U000028,0,7,34.3,1BR,standard,True,AG06
U000029,0,5,21.6,studio,standard,True,AG06
U000030,0,6,25.6,studio,standard,True,AG04
U000031,0,1,25.1,studio,city,True,AG02
U000032,0,1,20.7,studio,city,True,AG04
U000033,0,1,26.6,studio,pool,False,AG03
U000034,0,1,32.8,1BR,standard,True,AG01
U000035,0,3,43.0,1BR Plus,standard,True,AG06
U000036,0,7,35.8,1BR Plus,standard,True,AG03
U000037,0,7,41.7,1BR Plus,standard,False,AG02
U000038,0,4,25.8,studio,standard,True,AG02
U000039,0,1,21.4,studio,standard,True,AG05
U000040,0,2,26.2,studio,standard,True,AG01
U000041,0,2,29.0,1BR,city,True,AG01
U000042,0,1,22.1,studio,standard,False,AG04
U000043,0,6,26.6,studio,pool,False,AG05
U000044,0,4,25.9,studio,standard,False,AG03
U000045,0,4,23.0,studio,standard,False,AG03
U000046,0,1,25.4,studio,standard,True,AG03
U000047,0,2,22.9,studio,city,True,AG06
U000048,0,3,30.9,1BR,standard,True,AG02
U000049,0,8,35.2,1BR,pool,True,AG01
U000050,0,4,27.6,1BR,standard,True,AG01
U000051,0,5,25.6,studio,standard,True,AG03
U000052,0,5,23.8,studio,city,True,AG03
U000053,0,2,20.8,studio,standard,True,AG06
U000054,0,4,26.5,studio,standard,True,AG02
U000055,0,8,26.2,studio,pool,True,AG04
U000056,0,2,24.4,studio,standard,False,AG06
U000057,0,1,41.1,1BR Plus,city,False,AG05
U000058,0,2,24.3,studio,city,True,AG02
U000059,0,4,23.3,studio,standard,False,AG04
U000060,0,5,32.8,1BR,standard,True,AG05
U000061,0,7,23.0,studio,city,True,AG05
U000062,0,1,27.6,1BR,pool,True,AG05
U000063,0,6,29.0,1BR,standard,True,AG02
U000064,0,7,24.1,studio,pool,True,AG02
U000065,0,3,21.4,studio,city,True,AG06
U000066,0,7,41.2,1BR Plus,standard,True,AG05
U000067,0,7,26.4,studio,city,False,AG04
U000068,0,2,21.4,studio,city,True,AG01
U000069,0,2,26.6,studio,standard,False,AG02
U000070,0,4,21.9,studio,standard,True,AG05
U000071,0,2,39.7,1BR Plus,city,True,AG04
U000072,0,6,32.5,1BR,standard,False,AG06
U000073,0,3,23.7,studio,city,True,AG06
U000074,0,7,23.2,studio,standard,True,AG05
U000075,0,5,24.9,studio,standard,True,AG04
U000076,0,1,24.3,studio,city,True,AG06
U000077,0,3,26.9,studio,standard,False,AG04
U000078,0,4,44.5,1BR Plus,city,True,AG05
U000079,0,5,44.0,1BR Plus,standard,True,AG06
U000080,0,1,23.6,studio,standard,True,AG03
U000081,0,8,31.3,1BR,standard,True,AG04
U000082,0,4,24.4,studio,standard,False,AG06
U000083,0,6,23.3,studio,standard,False,AG01
U000084,0,2,24.1,studio,standard,True,AG04
U000085,0,3,30.7,1BR,standard,True,AG04
U000086,0,1,23.0,studio,standard,True,AG01
U000087,0,3,24.0,studio,city,True,AG02
U000088,0,7,24.8,studio,standard,True,AG02
U000089,0,6,33.8,1BR,standard,True,AG05
U000090,0,2,22.7,studio,city,False,AG01
U000091,0,6,24.7,studio,standard,True,AG05
U000092,0,3,35.0,1BR,standard,True,AG04
U000093,0,8,24.0,studio,standard,True,AG04
U000094,0,8,22.4,studio,city,True,AG04
U000095,0,2,25.9,studio,standard,True,AG01
U000096,0,6,24.6,studio,standard,True,AG04
U000097,0,4,32.6,1BR,standard,True,AG06
U000098,0,6,27.7,1BR,city,True,AG05
U000099,0,2,21.0,studio,city,True,AG05
U000100,0,4,25.7,studio,standard,True,AG04
U000101,0,3,29.5,1BR,standard,True,AG06
U000102,0,5,26.5,studio,standard,True,AG01
U000103,0,8,26.4,studio,city,True,AG06
U000104,0,3,21.9,studio,standard,False,AG06
U000105,0,7,23.9,studio,city,True,AG06
U000106,0,6,25.9,studio,standard,False,AG05
U000107,0,5,26.6,studio,standard,True,AG06
U000108,0,8,22.3,studio,standard,True,AG01
U000109,0,5,35.1,1BR,pool,False,AG03
U000110,0,3,21.0,studio,standard,False,AG02
U000111,0,3,20.7,studio,city,True,AG06
U000112,0,8,46.6,1BR Plus,standard,True,AG01
U000113,0,6,22.4,studio,pool,True,AG03
U000114,0,4,25.0,studio,standard,True,AG01
U000115,0,8,25.4,studio,standard,True,AG04
U000116,0,5,24.6,studio,standard,True,AG05
U000117,0,3,21.1,studio,standard,True,AG06
U000118,0,8,24.4,studio,standard,True,AG06
U000119,0,3,25.5,studio,city,True,AG04
U000120,0,5,41.5,1BR Plus,city,True,AG06
U000121,0,6,30.8,1BR,standard,True,AG06
U000122,0,2,22.8,studio,pool,True,AG01
U000123,0,8,24.9,studio,pool,True,AG03
U000124,0,7,35.0,1BR,standard,True,AG06
U000125,0,2,24.8,studio,city,True,AG01
U000126,0,7,40.2,1BR Plus,standard,True,AG02
U000127,0,4,25.9,studio,city,True,AG01
U000128,0,5,27.0,1BR,city,False,AG03
U000129,0,2,32.5,1BR,standard,True,AG04
U000130,0,3,29.7,1BR,standard,True,AG05
U000131,0,1,33.3,1BR,city,True,AG01
U000132,0,3,20.7,studio,city,True,AG04
U000133,0,6,23.3,studio,pool,True,AG04
U000134,0,3,23.6,studio,pool,True,AG05
U000135,0,6,26.6,studio,standard,False,AG04
U000136,0,2,25.0,studio,standard,True,AG02
U000137,0,5,25.3,studio,standard,False,AG05
U000138,0,1,30.9,1BR,standard,False,AG01
U000139,0,2,21.7,studio,standard,True,AG05
U000140,0,3,28.5,1BR,pool,False,AG04
U000141,0,6,25.2,studio,standard,False,AG05
U000142,0,1,27.8,1BR,city,True,AG06
U000143,0,3,27.7,1BR,city,False,AG05
U000144,0,4,25.8,studio,city,False,AG04
U000145,0,2,22.9,studio,standard,True,AG05
U000146,0,5,22.6,studio,city,True,AG05
U000147,0,3,24.0,studio,pool,False,AG06
U000148,0,6,22.4,studio,pool,True,AG05
U000149,0,8,25.8,studio,standard,True,AG02
U000150,0,2,22.8,studio,standard,False,AG03
U000151,0,6,27.1,1BR,standard,True,AG01
U000152,0,6,26.5,studio,standard,True,AG01
U000153,0,7,23.9,studio,standard,False,AG04
U000154,0,1,31.5,1BR,standard,True,AG05
U000155,0,2,26.5,studio,standard,True,AG05
U000156,0,2,26.1,studio,standard,True,AG03
U000157,0,4,35.2,1BR,standard,False,AG04
U000158,0,8,25.6,studio,standard,True,AG04
U000159,0,6,26.4,studio,standard,True,AG04
U000160,0,6,35.3,1BR,standard,False,AG05
U000161,0,7,23.4,studio,standard,False,AG05
U000162,0,6,24.2,studio,standard,True,AG04
U000163,0,2,40.9,1BR Plus,pool,True,AG05
U000164,0,3,23.3,studio,standard,False,AG06
U000165,0,5,46.0,1BR Plus,standard,True,AG01
U000166,0,1,31.4,1BR,standard,True,AG02
U000167,0,6,24.0,studio,standard,True,AG02
U000168,0,3,23.4,studio,standard,True,AG06
U000169,0,3,20.7,studio,standard,True,AG03
U000170,0,3,33.6,1BR,standard,True,AG03
U000171,0,7,28.6,1BR,standard,True,AG05
U000172,0,4,41.1,1BR Plus,standard,True,AG01
U000173,0,4,22.4,studio,city,False,AG01
U000174,0,5,25.7,studio,standard,True,AG03
U000175,0,6,22.9,studio,standard,False,AG01
U000176,0,4,21.3,studio,pool,True,AG02
U000177,0,6,27.9,1BR,standard,False,AG05
U000178,0,6,26.7,studio,pool,True,AG05
U000179,0,8,32.8,1BR,standard,False,AG02
U000180,0,8,30.0,1BR,city,True,AG01
U000181,0,7,26.1,studio,standard,True,AG02
U000182,0,3,30.5,1BR,pool,True,AG05
U000183,0,6,28.8,1BR,standard,True,AG05
U000184,0,2,22.6,studio,standard,True,AG04
U000185,0,3,33.9,1BR,standard,False,AG06
U000186,0,7,24.3,studio,standard,True,AG06
U000187,0,1,35.1,1BR,city,False,AG02
U000188,0,2,25.4,studio,pool,False,AG02
U000189,0,4,22.3,studio,standard,True,AG06
U000190,0,4,26.1,studio,standard,True,AG05
U000191,0,3,26.7,studio,city,True,AG02
U000192,0,1,26.9,studio,standard,True,AG02
U000193,0,2,23.0,studio,standard,True,AG05
U000194,0,2,22.4,studio,standard,True,AG05
U000195,0,7,26.7,studio,standard,True,AG03
U000196,0,4,33.2,1BR,pool,True,AG04
U000197,0,5,35.1,1BR,city,True,AG06
U000198,0,3,36.8,1BR Plus,city,True,AG04
U000199,0,6,24.7,studio,standard,True,AG05
U000200,0,3,26.9,studio,city,True,AG03
U000201,0,2,26.3,studio,pool,True,AG01
U000202,0,2,30.1,1BR,standard,True,AG06
U000203,0,2,26.2,studio,standard,True,AG02
U000204,0,1,22.7,studio,standard,True,AG03
U000205,0,5,23.0,studio,standard,True,AG04
U000206,0,4,26.2,studio,standard,True,AG04
U000207,0,1,21.4,studio,standard,True,AG01
U000208,0,2,21.3,studio,city,True,AG01
U000209,0,4,22.2,studio,standard,False,AG03
U000210,0,2,34.5,1BR,standard,True,AG01
U000211,0,7,23.8,studio,standard,True,AG06
U000212,0,7,21.3,studio,city,False,AG01
U000213,0,6,32.4,1BR,city,True,AG01
U000214,0,3,23.0,studio,pool,True,AG06
U000215,0,3,23.8,studio,city,True,AG03
U000216,0,5,23.8,studio,standard,True,AG02
U000217,0,1,25.8,studio,standard,True,AG03
U000218,0,5,31.6,1BR,city,False,AG06
U000219,0,7,35.0,1BR,standard,True,AG06
U000220,0,8,25.5,studio,standard,False,AG01
U000221,0,7,21.8,studio,standard,True,AG03
U000222,0,5,29.6,1BR,city,True,AG02
U000223,0,3,25.9,studio,standard,True,AG06
U000224,0,5,28.0,1BR,city,True,AG03
U000225,0,1,44.8,1BR Plus,standard,True,AG01
U000226,0,3,32.6,1BR,standard,True,AG06
U000227,0,8,23.9,studio,city,True,AG03
