week,date,project_id,season,n_searchers,n_listings_open,n_units_leased,occupancy,median_asking_rent
0,2023-01-03,0,normal,21,101,488,0.8285229202037352,10010.0
0,2023-01-03,1,normal,39,166,907,0.8452935694315005,10480.0
0,2023-01-03,2,normal,36,180,893,0.8322460391425909,10965.0
0,2023-01-03,3,normal,55,285,1485,0.8389830508474576,11110.0
0,2023-01-03,4,normal,40,155,928,0.8568790397045245,11260.0
0,2023-01-03,5,normal,39,161,855,0.8415354330708661,10570.0
0,2023-01-03,6,normal,43,198,1080,0.8450704225352113,10805.0
0,2023-01-03,14,normal,23,81,507,0.8622448979591837,10330.0
1,2023-01-10,0,normal,22,101,488,0.8285229202037352,10050.0
1,2023-01-10,1,normal,26,157,916,0.8536812674743709,10590.0
1,2023-01-10,2,normal,36,171,902,0.8406337371854613,10890.0
1,2023-01-10,3,normal,63,251,1519,0.8581920903954803,11380.0
1,2023-01-10,4,normal,53,141,942,0.8698060941828255,11980.0
1,2023-01-10,5,normal,43,141,875,0.8612204724409449,10580.0
1,2023-01-10,6,normal,66,170,1108,0.86697965571205,10940.0
1,2023-01-10,14,normal,25,76,512,0.8707482993197279,10625.0
2,2023-01-17,0,normal,17,99,490,0.831918505942275,10060.0
2,2023-01-17,1,normal,44,142,931,0.8676607642124884,10715.0
2,2023-01-17,2,normal,43,155,918,0.8555452003727866,11030.0
2,2023-01-17,3,normal,70,213,1557,0.8796610169491526,11780.0
2,2023-01-17,4,normal,38,125,958,0.8845798707294552,12070.0
2,2023-01-17,5,normal,50,124,892,0.8779527559055118,10580.0
2,2023-01-17,6,normal,51,151,1127,0.8818466353677621,11080.0
2,2023-01-17,14,normal,22,73,515,0.8758503401360545,10930.0
3,2023-01-24,0,normal,20,94,495,0.8404074702886248,10135.0
3,2023-01-24,1,normal,36,131,942,0.8779123951537745,11000.0
3,2023-01-24,2,normal,23,157,916,0.8536812674743709,11030.0
3,2023-01-24,3,normal,62,192,1578,0.8915254237288136,12080.0
3,2023-01-24,4,normal,40,115,968,0.8938134810710988,12080.0
3,2023-01-24,5,normal,54,99,917,0.9025590551181102,10710.0
3,2023-01-24,6,normal,73,125,1153,0.902190923317684,11080.0
3,2023-01-24,14,normal,31,66,522,0.8877551020408163,10615.0
4,2023-01-31,0,normal,20,91,498,0.8455008488964346,9930.0
4,2023-01-31,1,normal,38,119,954,0.8890959925442684,10790.0
4,2023-01-31,2,normal,50,136,937,0.8732525629077353,10670.0
4,2023-01-31,3,normal,57,168,1602,0.905084745762712,11750.0
4,2023-01-31,4,normal,50,101,982,0.9067405355493998,11660.0
4,2023-01-31,5,normal,46,88,928,0.9133858267716536,10355.0
4,2023-01-31,6,normal,57,106,1172,0.917057902973396,10875.0
4,2023-01-31,14,normal,14,73,515,0.8758503401360545,10060.0
5,2023-02-07,0,off,10,92,497,0.8438030560271647,9985.0
5,2023-02-07,1,off,12,128,945,0.880708294501398,10790.0
5,2023-02-07,2,off,28,139,934,0.8704566635601119,10590.0
5,2023-02-07,3,off,29,175,1595,0.9011299435028248,11740.0
5,2023-02-07,4,off,18,104,979,0.9039704524469068,11520.0
5,2023-02-07,5,off,18,90,926,0.9114173228346456,10200.0
5,2023-02-07,6,off,31,106,1172,0.917057902973396,10975.0
5,2023-02-07,14,off,12,75,513,0.8724489795918368,10060.0
6,2023-02-14,0,off,9,93,496,0.8421052631578947,9770.0
6,2023-02-14,1,off,14,130,943,0.8788443616029823,10815.0
6,2023-02-14,2,off,19,132,941,0.8769804287045666,10610.0
6,2023-02-14,3,off,31,179,1591,0.8988700564971751,11680.0
6,2023-02-14,4,off,19,103,980,0.9048938134810712,11480.0
6,2023-02-14,5,off,14,89,927,0.9124015748031497,10330.0
6,2023-02-14,6,off,24,102,1176,0.92018779342723,10650.0
6,2023-02-14,14,off,10,78,510,0.8673469387755102,10055.0
7,2023-02-21,0,off,6,98,491,0.833616298811545,9720.0
7,2023-02-21,1,off,11,139,934,0.8704566635601119,10830.0
7,2023-02-21,2,off,16,135,938,0.8741845293569431,10630.0
7,2023-02-21,3,off,38,172,1598,0.9028248587570622,11740.0
7,2023-02-21,4,off,16,100,983,0.9076638965835642,11475.0
7,2023-02-21,5,off,14,95,921,0.906496062992126,10390.0
7,2023-02-21,6,off,22,102,1176,0.92018779342723,10650.0
7,2023-02-21,14,off,7,80,508,0.8639455782312925,10055.0
8,2023-02-28,0,off,7,102,487,0.8268251273344652,9480.0
8,2023-02-28,1,off,24,135,938,0.8741845293569431,10720.0
8,2023-02-28,2,off,12,136,937,0.8732525629077353,10275.0
8,2023-02-28,3,off,25,170,1600,0.903954802259887,11470.0
8,2023-02-28,4,off,16,104,979,0.9039704524469068,11020.0
8,2023-02-28,5,off,23,96,920,0.905511811023622,10240.0
8,2023-02-28,6,off,18,106,1172,0.917057902973396,10625.0
8,2023-02-28,14,off,13,79,509,0.8656462585034014,9610.0
9,2023-03-07,0,off,8,102,487,0.8268251273344652,9550.0
9,2023-03-07,1,off,13,142,931,0.8676607642124884,10720.0
9,2023-03-07,2,off,23,129,944,0.8797763280521901,10570.0
9,2023-03-07,3,off,27,165,1605,0.9067796610169492,11480.0
9,2023-03-07,4,off,16,110,973,0.8984302862419206,11085.0
