lease_id,unit_id,project_id,tenant_segment,week_start,date_start,week_end,lease_months,rent,is_renewal
L000001,U000385,0,year2_3,0,2023-01-03,48,12,9830.0,False
L000002,U000055,0,year1,0,2023-01-03,24,6,9820.0,False
L000003,U000474,0,year2_3,0,2023-01-03,24,6,8670.0,False
L000004,U000167,0,firstjob,0,2023-01-03,24,6,9090.0,False
L000005,U000003,0,year4,0,2023-01-03,48,12,9040.0,False
L000006,U000046,0,year2_3,0,2023-01-03,48,12,9440.0,False
L000007,U000300,0,year2_3,0,2023-01-03,48,12,8600.0,False
L000008,U000029,0,year4,0,2023-01-03,48,12,8800.0,False
L000009,U011007,1,year4,0,2023-01-03,48,12,9380.0,False
L000010,U011013,1,firstjob,0,2023-01-03,48,12,12090.0,False
L000011,U010430,1,year4,0,2023-01-03,48,12,9410.0,False
L000012,U010203,1,year2_3,0,2023-01-03,24,6,9190.0,False
L000013,U010369,1,year1,0,2023-01-03,48,12,10240.0,False
L000014,U011061,1,year2_3,0,2023-01-03,48,12,9360.0,False
L000015,U010978,1,year1,0,2023-01-03,48,12,9400.0,False
L000016,U011009,1,year4,0,2023-01-03,48,12,9680.0,False
L000017,U010196,1,year1,0,2023-01-03,24,6,8690.0,False
L000018,U010787,1,firstjob,0,2023-01-03,48,12,9710.0,False
L000019,U010746,1,year4,0,2023-01-03,48,12,9240.0,False
L000020,U010352,1,year2_3,0,2023-01-03,48,12,9210.0,False
L000021,U010933,1,year1,0,2023-01-03,48,12,12090.0,False
L000022,U010445,1,year2_3,0,2023-01-03,48,12,8960.0,False
L000023,U010191,1,year4,0,2023-01-03,48,12,9160.0,False
L000024,U010463,1,year4,0,2023-01-03,24,6,8710.0,False
L000025,U010333,1,year1,0,2023-01-03,48,12,9530.0,False
L000026,U010553,1,year1,0,2023-01-03,24,6,13770.0,False
L000027,U010612,1,year2_3,0,2023-01-03,48,12,9640.0,False
L000028,U010864,1,year1,0,2023-01-03,48,12,8980.0,False
L000029,U010221,1,year2_3,0,2023-01-03,48,12,11690.0,False
L000030,U011031,1,year1,0,2023-01-03,48,12,9940.0,False
L000031,U010867,1,firstjob,0,2023-01-03,24,6,12410.0,False
L000032,U011060,1,year2_3,0,2023-01-03,48,12,10090.0,False
L000033,U020624,2,firstjob,0,2023-01-03,48,12,9400.0,False
L000034,U020810,2,year2_3,0,2023-01-03,48,12,10550.0,False
L000035,U020932,2,year1,0,2023-01-03,48,12,9130.0,False
